id,client_id,courtier_id,compagnie_id,compagnie_nom,numero_police,branche,statut,date_debut,date_echeance,periodicite,prime_annuelle,commission_taux,commission_annuelle,source
POL0001,CLT001,C001,CMP005,Generali,GEN-819030,cyber,résilié,2025-05-04,2028-03-26,annuel,6329,14,886,reseau
POL0002,CLT001,C001,CMP003,Helvetia,HEL-216628,accident,résilié,2026-02-16,2027-09-15,trimestriel,17467,18,3144,recommandation
POL0003,CLT001,C001,CMP005,Generali,GEN-132439,protection_juridique,actif,2025-07-22,2028-07-20,trimestriel,12533,13,1629,prospection
POL0004,CLT001,C001,CMP009,Vaudoise,VAU-514397,maladie,actif,2026-01-24,2027-03-08,annuel,24235,17,4120,site_web
POL0005,CLT002,C002,CMP007,Bâloise,BÂL-338546,RC_pro,résilié,2024-09-16,2026-08-19,annuel,22222,13,2889,reseau
POL0006,CLT002,C002,CMP002,Zurich,ZUR-140987,accident,actif,2025-08-16,2027-07-01,annuel,9845,18,1772,recommandation
POL0007,CLT003,C003,CMP008,Swiss Life,SWI-439652,RC_pro,résilié,2025-05-14,2027-09-14,annuel,1896,17,322,reseau
POL0008,CLT003,C003,CMP005,Generali,GEN-715062,maladie,actif,2026-03-21,2027-06-11,annuel,10238,9,921,reseau
POL0009,CLT003,C003,CMP001,AXA,AXA-367920,incendie,actif,2025-09-05,2027-07-25,annuel,3961,16,634,site_web
POL0010,CLT003,C003,CMP008,Swiss Life,SWI-693213,transport,actif,2024-06-21,2027-05-25,annuel,3541,8,283,reseau
POL0011,CLT003,C003,CMP002,Zurich,ZUR-518968,cyber,actif,2025-05-06,2026-06-02,annuel,13089,10,1309,prospection
POL0012,CLT004,C005,CMP004,Allianz,ALL-732118,accident,actif,2025-09-05,2028-07-15,semestriel,14820,17,2519,recommandation
POL0013,CLT004,C005,CMP002,Zurich,ZUR-447425,vie,actif,2025-06-20,2027-06-05,trimestriel,2270,16,363,recommandation
POL0014,CLT005,C002,CMP010,Winterthur,WIN-928989,protection_juridique,actif,2025-02-16,2026-06-05,annuel,20127,12,2415,prospection
POL0015,CLT005,C002,CMP004,Allianz,ALL-622059,RC_pro,actif,2024-10-20,2027-08-27,annuel,17456,12,2095,recommandation
POL0016,CLT005,C002,CMP004,Allianz,ALL-803770,vie,actif,2025-04-16,2027-01-19,annuel,8498,15,1275,prospection
POL0017,CLT005,C002,CMP004,Allianz,ALL-430015,cyber,actif,2026-03-02,2027-03-22,annuel,20332,12,2440,site_web
POL0018,CLT005,C002,CMP002,Zurich,ZUR-687227,incendie,actif,2025-05-18,2028-01-10,annuel,10041,18,1807,reseau
POL0019,CLT006,C001,CMP003,Helvetia,HEL-433801,protection_juridique,actif,2025-01-03,2027-02-08,annuel,15781,15,2367,recommandation
POL0020,CLT006,C001,CMP008,Swiss Life,SWI-415502,vehicule,suspendu,2024-07-31,2026-04-20,semestriel,21704,18,3907,prospection
POL0021,CLT006,C001,CMP006,Mobilière,MOB-462071,RC_pro,résilié,2024-06-28,2025-08-24,annuel,12808,13,1665,recommandation
POL0022,CLT006,C001,CMP008,Swiss Life,SWI-118212,transport,actif,2024-10-16,2027-04-24,semestriel,1135,10,114,reseau
POL0023,CLT006,C001,CMP008,Swiss Life,SWI-368492,maladie,actif,2026-03-04,2027-03-26,semestriel,18061,12,2167,recommandation
POL0024,CLT007,C005,CMP005,Generali,GEN-708408,vehicule,actif,2024-06-18,2026-03-13,annuel,18637,12,2236,site_web
POL0025,CLT007,C005,CMP005,Generali,GEN-616340,vie,actif,2025-09-24,2028-06-11,annuel,23192,18,4175,prospection
POL0026,CLT007,C005,CMP004,Allianz,ALL-623487,accident,actif,2026-02-27,2027-10-20,annuel,16804,12,2016,recommandation
POL0027,CLT007,C005,CMP004,Allianz,ALL-680067,cyber,actif,2024-12-03,2027-10-25,annuel,15180,12,1822,site_web
POL0028,CLT007,C005,CMP001,AXA,AXA-390004,incendie,résilié,2024-05-21,2025-07-22,annuel,13630,10,1363,recommandation
POL0029,CLT007,C005,CMP009,Vaudoise,VAU-957407,maladie,actif,2024-11-24,2027-07-11,annuel,23943,14,3352,reseau
POL0030,CLT008,C002,CMP001,AXA,AXA-213201,vie,résilié,2024-06-21,2025-10-04,annuel,5224,12,627,recommandation
POL0031,CLT008,C002,CMP001,AXA,AXA-192099,vehicule,actif,2025-12-21,2028-05-19,annuel,5455,10,546,site_web
POL0032,CLT009,C002,CMP010,Winterthur,WIN-244220,transport,résilié,2026-03-18,2028-12-08,annuel,3192,14,447,site_web
POL0033,CLT009,C002,CMP001,AXA,AXA-975785,vie,suspendu,2024-08-09,2026-01-14,annuel,13141,14,1840,prospection
POL0034,CLT009,C002,CMP004,Allianz,ALL-808061,protection_juridique,actif,2026-01-24,2028-11-10,annuel,9624,9,866,prospection
POL0035,CLT010,C001,CMP006,Mobilière,MOB-208685,vehicule,actif,2024-08-26,2026-10-21,annuel,13445,18,2420,recommandation
POL0036,CLT010,C001,CMP001,AXA,AXA-913783,transport,actif,2025-10-31,2027-02-13,trimestriel,17347,12,2082,prospection
POL0037,CLT010,C001,CMP001,AXA,AXA-477313,RC_pro,actif,2024-08-13,2026-02-25,annuel,18515,15,2777,reseau
POL0038,CLT010,C001,CMP009,Vaudoise,VAU-299479,maladie,actif,2025-06-29,2027-08-26,annuel,22696,18,4085,prospection
POL0039,CLT010,C001,CMP010,Winterthur,WIN-369821,accident,actif,2024-12-31,2026-02-10,trimestriel,18820,10,1882,prospection
POL0040,CLT010,C001,CMP002,Zurich,ZUR-377480,protection_juridique,actif,2024-11-15,2027-02-09,semestriel,13435,14,1881,reseau
POL0041,CLT011,C005,CMP010,Winterthur,WIN-782061,maladie,actif,2024-09-16,2026-05-15,annuel,8582,8,687,recommandation
POL0042,CLT011,C005,CMP006,Mobilière,MOB-703423,protection_juridique,actif,2025-09-23,2027-09-02,annuel,15437,8,1235,prospection
POL0043,CLT011,C005,CMP002,Zurich,ZUR-912078,vie,actif,2025-04-09,2026-12-23,annuel,4857,8,389,recommandation
POL0044,CLT012,C005,CMP010,Winterthur,WIN-313851,RC_pro,actif,2025-08-12,2028-01-15,annuel,18722,16,2996,prospection
POL0045,CLT012,C005,CMP005,Generali,GEN-127705,vie,actif,2025-05-23,2027-03-19,semestriel,5661,10,566,recommandation
POL0046,CLT012,C005,CMP004,Allianz,ALL-909742,incendie,actif,2024-10-01,2027-02-18,annuel,2372,13,308,recommandation
POL0047,CLT012,C005,CMP005,Generali,GEN-575852,transport,suspendu,2024-10-16,2027-03-13,annuel,7417,16,1187,site_web
POL0048,CLT012,C005,CMP003,Helvetia,HEL-997768,cyber,actif,2024-08-04,2026-05-18,annuel,19660,16,3146,prospection
POL0049,CLT013,C004,CMP010,Winterthur,WIN-547163,RC_pro,actif,2024-10-14,2026-07-13,annuel,17147,13,2229,reseau
POL0050,CLT013,C004,CMP003,Helvetia,HEL-236154,cyber,actif,2024-05-24,2027-05-02,annuel,19539,8,1563,recommandation
POL0051,CLT013,C004,CMP009,Vaudoise,VAU-238642,maladie,actif,2025-08-13,2027-09-10,semestriel,11186,18,2013,prospection
POL0052,CLT013,C004,CMP005,Generali,GEN-154248,accident,actif,2024-10-01,2027-02-25,annuel,4673,9,421,reseau
POL0053,CLT014,C004,CMP002,Zurich,ZUR-668536,vie,actif,2026-01-10,2028-04-18,annuel,4275,11,470,recommandation
POL0054,CLT014,C004,CMP002,Zurich,ZUR-843372,RC_pro,résilié,2025-01-15,2027-11-13,annuel,10669,13,1387,prospection
POL0055,CLT014,C004,CMP002,Zurich,ZUR-102504,accident,actif,2025-10-25,2027-08-02,trimestriel,7763,18,1397,recommandation
POL0056,CLT014,C004,CMP002,Zurich,ZUR-692343,incendie,actif,2024-07-18,2026-11-24,annuel,9032,12,1084,reseau
POL0057,CLT014,C004,CMP008,Swiss Life,SWI-941858,protection_juridique,suspendu,2024-09-22,2026-12-31,trimestriel,24882,15,3732,reseau
POL0058,CLT014,C004,CMP010,Winterthur,WIN-834037,vehicule,suspendu,2025-03-03,2027-04-23,trimestriel,5286,9,476,reseau
POL0059,CLT015,C004,CMP005,Generali,GEN-483926,vie,actif,2024-09-16,2026-11-30,annuel,11193,8,895,site_web
POL0060,CLT015,C004,CMP006,Mobilière,MOB-773769,accident,suspendu,2024-06-28,2027-01-19,annuel,5247,18,944,site_web
POL0061,CLT015,C004,CMP006,Mobilière,MOB-467682,vehicule,actif,2024-12-12,2027-04-28,annuel,22466,8,1797,reseau
POL0062,CLT016,C001,CMP002,Zurich,ZUR-745405,transport,actif,2025-12-26,2028-05-07,annuel,24248,11,2667,site_web
POL0063,CLT016,C001,CMP003,Helvetia,HEL-406254,vie,résilié,2025-01-13,2026-11-09,trimestriel,2173,9,196,recommandation
POL0064,CLT016,C001,CMP003,Helvetia,HEL-921131,accident,résilié,2024-05-03,2026-03-31,trimestriel,8952,8,716,site_web
POL0065,CLT016,C001,CMP003,Helvetia,HEL-134608,maladie,résilié,2024-11-06,2026-01-30,trimestriel,10877,18,1958,site_web
POL0066,CLT016,C001,CMP009,Vaudoise,VAU-941561,cyber,actif,2024-09-10,2026-06-07,trimestriel,23848,16,3816,prospection
POL0067,CLT016,C001,CMP006,Mobilière,MOB-629938,vehicule,actif,2025-04-23,2027-12-16,annuel,12749,11,1402,reseau
POL0068,CLT017,C005,CMP007,Bâloise,BÂL-104551,vie,actif,2024-10-04,2026-05-13,annuel,22135,17,3763,recommandation
POL0069,CLT017,C005,CMP001,AXA,AXA-987497,vehicule,suspendu,2025-01-15,2026-09-13,annuel,1162,13,151,reseau
POL0070,CLT017,C005,CMP010,Winterthur,WIN-846972,incendie,actif,2025-05-02,2027-07-19,semestriel,4573,8,366,reseau
POL0071,CLT017,C005,CMP001,AXA,AXA-348651,accident,résilié,2025-05-14,2027-11-01,annuel,4115,11,453,recommandation
POL0072,CLT018,C004,CMP008,Swiss Life,SWI-282110,maladie,actif,2025-08-22,2027-10-31,annuel,1814,12,218,prospection
POL0073,CLT018,C004,CMP009,Vaudoise,VAU-342752,protection_juridique,actif,2025-03-04,2026-07-04,annuel,19987,18,3598,site_web
POL0074,CLT018,C004,CMP003,Helvetia,HEL-775368,vie,résilié,2025-02-22,2026-05-01,annuel,11136,8,891,site_web
POL0075,CLT018,C004,CMP004,Allianz,ALL-621622,cyber,suspendu,2024-07-19,2025-09-04,annuel,13401,11,1474,prospection
POL0076,CLT019,C003,CMP008,Swiss Life,SWI-128562,incendie,actif,2024-07-29,2026-11-10,annuel,12498,18,2250,recommandation
POL0077,CLT019,C003,CMP001,AXA,AXA-485689,RC_pro,résilié,2024-09-27,2025-12-16,annuel,2139,10,214,reseau
POL0078,CLT019,C003,CMP001,AXA,AXA-610621,protection_juridique,actif,2025-05-29,2026-07-13,trimestriel,17579,11,1934,reseau
POL0079,CLT019,C003,CMP007,Bâloise,BÂL-760241,cyber,actif,2026-03-25,2027-07-30,semestriel,16303,10,1630,prospection
POL0080,CLT019,C003,CMP007,Bâloise,BÂL-997565,transport,actif,2026-02-08,2028-07-16,annuel,9780,9,880,reseau
POL0081,CLT020,C003,CMP003,Helvetia,HEL-941066,vie,résilié,2026-03-23,2027-10-18,trimestriel,20623,18,3712,site_web
POL0082,CLT020,C003,CMP002,Zurich,ZUR-462176,transport,suspendu,2024-05-02,2025-12-28,trimestriel,2087,16,334,site_web
POL0083,CLT020,C003,CMP008,Swiss Life,SWI-209535,cyber,actif,2025-12-10,2028-04-13,semestriel,22938,12,2753,recommandation
