id,contrat_id,client_id,date_emission,date_echeance,montant_brut,montant_net,statut,date_encaissement
PRM00001,POL0001,CLT001,2025-05-04,2025-06-04,527,501,encaissée,2025-05-19
PRM00002,POL0001,CLT001,2025-06-04,2025-07-04,527,501,encaissée,2025-06-09
PRM00003,POL0001,CLT001,2025-07-04,2025-08-04,527,501,encaissée,2025-07-09
PRM00004,POL0001,CLT001,2025-08-04,2025-09-04,527,501,encaissée,2025-08-13
PRM00005,POL0001,CLT001,2025-09-04,2025-10-04,527,501,encaissée,2025-09-14
PRM00006,POL0001,CLT001,2025-10-04,2025-11-04,527,501,encaissée,2025-10-18
PRM00007,POL0001,CLT001,2025-11-04,2025-12-04,527,501,encaissée,2025-11-09
PRM00008,POL0001,CLT001,2025-12-04,2026-01-04,527,501,encaissée,2025-12-14
PRM00009,POL0001,CLT001,2026-01-04,2026-02-04,527,501,encaissée,2026-01-15
PRM00010,POL0001,CLT001,2026-02-04,2026-03-04,527,501,encaissée,2026-02-17
PRM00011,POL0001,CLT001,2026-03-04,2026-04-04,527,501,encaissée,2026-03-14
PRM00012,POL0001,CLT001,2026-04-04,2026-05-04,527,501,encaissée,2026-04-11
PRM00013,POL0002,CLT001,2026-02-16,2026-03-16,1456,1383,encaissée,2026-03-01
PRM00014,POL0002,CLT001,2026-03-16,2026-04-16,1456,1383,encaissée,2026-03-18
PRM00015,POL0002,CLT001,2026-04-16,2026-05-16,1456,1383,encaissée,2026-04-21
PRM00016,POL0003,CLT001,2025-07-22,2025-08-22,1044,992,encaissée,2025-07-24
PRM00017,POL0003,CLT001,2025-08-22,2025-09-22,1044,992,encaissée,2025-08-27
PRM00018,POL0003,CLT001,2025-09-22,2025-10-22,1044,992,encaissée,2025-10-01
PRM00019,POL0003,CLT001,2025-10-22,2025-11-22,1044,992,encaissée,2025-10-28
PRM00020,POL0003,CLT001,2025-11-22,2025-12-22,1044,992,encaissée,2025-12-01
PRM00021,POL0003,CLT001,2025-12-22,2026-01-22,1044,992,encaissée,2026-01-02
PRM00022,POL0003,CLT001,2026-01-22,2026-02-22,1044,992,encaissée,2026-01-27
PRM00023,POL0003,CLT001,2026-02-22,2026-03-22,1044,992,encaissée,2026-02-24
PRM00024,POL0003,CLT001,2026-03-22,2026-04-22,1044,992,encaissée,2026-03-25
PRM00025,POL0003,CLT001,2026-04-22,2026-05-22,1044,992,encaissée,2026-04-24
PRM00026,POL0004,CLT001,2026-01-24,2026-02-24,2020,1919,encaissée,2026-01-30
PRM00027,POL0004,CLT001,2026-02-24,2026-03-24,2020,1919,encaissée,2026-03-03
PRM00028,POL0004,CLT001,2026-03-24,2026-04-24,2020,1919,encaissée,2026-03-26
PRM00029,POL0004,CLT001,2026-04-24,2026-05-24,2020,1919,encaissée,2026-05-03
PRM00030,POL0005,CLT002,2024-09-16,2024-10-16,1852,1759,encaissée,2024-10-01
PRM00031,POL0005,CLT002,2024-10-16,2024-11-16,1852,1759,encaissée,2024-10-22
PRM00032,POL0005,CLT002,2024-11-16,2024-12-16,1852,1759,encaissée,2024-11-25
PRM00033,POL0005,CLT002,2024-12-16,2025-01-16,1852,1759,encaissée,2024-12-23
PRM00034,POL0005,CLT002,2025-01-16,2025-02-16,1852,1759,encaissée,2025-01-24
PRM00035,POL0005,CLT002,2025-02-16,2025-03-16,1852,1759,encaissée,2025-02-18
PRM00036,POL0005,CLT002,2025-03-16,2025-04-16,1852,1759,encaissée,2025-03-25
PRM00037,POL0005,CLT002,2025-04-16,2025-05-16,1852,1759,encaissée,2025-04-24
PRM00038,POL0005,CLT002,2025-05-16,2025-06-16,1852,1759,encaissée,2025-05-20
PRM00039,POL0005,CLT002,2025-06-16,2025-07-16,1852,1759,encaissée,2025-06-23
PRM00040,POL0005,CLT002,2025-07-16,2025-08-16,1852,1759,encaissée,2025-07-31
PRM00041,POL0005,CLT002,2025-08-16,2025-09-16,1852,1759,encaissée,2025-08-24
PRM00042,POL0005,CLT002,2025-09-16,2025-10-16,1852,1759,encaissée,2025-09-28
PRM00043,POL0005,CLT002,2025-10-16,2025-11-16,1852,1759,encaissée,2025-10-20
PRM00044,POL0005,CLT002,2025-11-16,2025-12-16,1852,1759,encaissée,2025-11-19
PRM00045,POL0005,CLT002,2025-12-16,2026-01-16,1852,1759,encaissée,2025-12-18
PRM00046,POL0005,CLT002,2026-01-16,2026-02-16,1852,1759,encaissée,2026-01-28
PRM00047,POL0005,CLT002,2026-02-16,2026-03-16,1852,1759,encaissée,2026-02-20
PRM00048,POL0005,CLT002,2026-03-16,2026-04-16,1852,1759,encaissée,2026-03-30
PRM00049,POL0005,CLT002,2026-04-16,2026-05-16,1852,1759,encaissée,2026-05-01
PRM00050,POL0006,CLT002,2025-08-16,2025-09-16,820,779,encaissée,2025-08-20
PRM00051,POL0006,CLT002,2025-09-16,2025-10-16,820,779,encaissée,2025-09-24
PRM00052,POL0006,CLT002,2025-10-16,2025-11-16,820,779,encaissée,2025-10-31
PRM00053,POL0006,CLT002,2025-11-16,2025-12-16,820,779,encaissée,2025-11-21
PRM00054,POL0006,CLT002,2025-12-16,2026-01-16,820,779,encaissée,2025-12-19
