id,contrat_id,client_id,courtier_id,branche,prime_actuelle,date_echeance,jours_restants,date_relance_1,date_relance_2,date_relance_3,statut,motif_resiliation
REN007,POL0011,CLT003,C003,cyber,13089,2026-06-02,31,2026-03-04,2026-04-03,2026-05-03,en_cours,
REN010,POL0014,CLT005,C002,protection_juridique,20127,2026-06-05,34,2026-03-07,2026-04-06,2026-05-06,en_cours,
REN025,POL0035,CLT010,C001,vehicule,13445,2026-10-21,172,2026-07-23,2026-08-22,2026-09-21,à_traiter,
REN031,POL0041,CLT011,C005,maladie,8582,2026-05-15,13,2026-02-14,2026-03-16,2026-04-15,en_cours,
REN037,POL0048,CLT012,C005,cyber,19660,2026-05-18,16,2026-02-17,2026-03-19,2026-04-18,en_cours,
REN038,POL0049,CLT013,C004,RC_pro,17147,2026-07-13,72,2026-04-14,2026-05-14,2026-06-13,en_cours,
REN048,POL0066,CLT016,C001,cyber,23848,2026-06-07,36,2026-03-09,2026-04-08,2026-05-08,en_cours,
REN050,POL0068,CLT017,C005,vie,22135,2026-05-13,11,2026-02-12,2026-03-14,2026-04-13,renouvelé,
REN053,POL0073,CLT018,C004,protection_juridique,19987,2026-07-04,63,2026-04-05,2026-05-05,2026-06-04,en_cours,
REN055,POL0078,CLT019,C003,protection_juridique,17579,2026-07-13,72,2026-04-14,2026-05-14,2026-06-13,en_cours,
REN067,POL0095,CLT024,C005,accident,24008,2026-07-29,88,2026-04-30,2026-05-30,2026-06-29,en_cours,
REN068,POL0096,CLT025,C001,accident,14371,2026-06-24,53,2026-03-26,2026-04-25,2026-05-25,en_cours,
REN070,POL0099,CLT025,C001,vie,24949,2026-05-20,18,2026-02-19,2026-03-21,2026-04-20,en_attente_client,
REN083,POL0122,CLT032,C003,vie,24986,2026-07-30,89,2026-05-01,2026-05-31,2026-06-30,en_cours,
REN090,POL0134,CLT035,C004,incendie,24906,2026-06-27,56,2026-03-29,2026-04-28,2026-05-28,en_cours,
REN096,POL0142,CLT037,C004,transport,20234,2026-06-23,52,2026-03-25,2026-04-24,2026-05-24,en_cours,
REN098,POL0144,CLT038,C003,incendie,14486,2026-10-22,173,2026-07-24,2026-08-23,2026-09-22,à_traiter,
REN102,POL0149,CLT039,C005,RC_pro,21695,2026-10-27,178,2026-07-29,2026-08-28,2026-09-27,à_traiter,
REN117,POL0169,CLT046,C003,RC_pro,15667,2026-07-02,61,2026-04-03,2026-05-03,2026-06-02,en_cours,
