id,contrat_id,client_id,courtier_id,numero_sinistre,branche,date_survenance,date_declaration,nature,montant_estime,montant_indemnise,statut,date_cloture,gestionnaire_id
SIN001,POL0169,CLT046,C003,SIN-188005,RC_pro,2025-05-03,2025-05-06,Dégât des eaux,76013,0,en_cours,,C003
SIN002,POL0177,CLT047,C002,SIN-463794,cyber,2026-03-10,2026-03-15,Dégât des eaux,16631,0,en_cours,,C002
SIN003,POL0048,CLT012,C005,SIN-567706,cyber,2025-08-26,2025-08-30,Vol,22445,0,ouvert,,C004
SIN004,POL0052,CLT013,C004,SIN-928227,accident,2024-09-19,2024-09-24,Cyber attaque,75070,0,en_cours,,C002
SIN005,POL0126,CLT033,C001,SIN-846775,RC_pro,2025-05-31,2025-06-04,Vol,58992,32916,clôturé,2025-09-07,C005
SIN006,POL0050,CLT013,C004,SIN-587818,cyber,2025-03-31,2025-04-05,Bris de machine,61960,0,en_cours,,C001
SIN007,POL0177,CLT047,C002,SIN-432393,cyber,2024-09-16,2024-09-24,Accident,46178,0,ouvert,,C003
SIN008,POL0115,CLT031,C002,SIN-121947,vie,2025-10-24,2025-11-03,Responsabilité civile,20566,0,en_cours,,C002
SIN009,POL0165,CLT045,C003,SIN-171765,RC_pro,2025-07-05,2025-07-13,Responsabilité civile,39886,0,refusé,,C004
SIN010,POL0006,CLT002,C002,SIN-674291,accident,2025-07-15,2025-07-25,Bris de machine,129052,0,refusé,,C005
SIN011,POL0049,CLT013,C004,SIN-499345,RC_pro,2026-04-07,2026-04-17,Vol,139683,98471,clôturé,2026-09-13,C004
SIN012,POL0140,CLT036,C003,SIN-891822,maladie,2024-11-14,2024-11-17,Vol,140756,0,en_cours,,C002
SIN013,POL0092,CLT024,C005,SIN-633404,protection_juridique,2025-07-06,2025-07-13,Vol,62025,0,en_cours,,C003
SIN014,POL0016,CLT005,C002,SIN-106241,vie,2025-06-30,2025-07-03,Vol,33383,0,en_cours,,C002
